Z(km) O2+ O+ CO2+ CO+ NO+ N2+ OH+ H+ HCO+
217.452 0.743 8.88 8.29 3.1 0.117 1.96 0 0.00793 0
218.604 0.701 8.48 7.64 2.87 0.11 1.86 0 0.00792 0
219.763 0.66 8.1 7.03 2.65 0.104 1.76 0 0.00791 0
220.929 0.622 7.74 6.48 2.45 0.0986 1.67 0 0.0079 0
222.102 0.586 7.4 5.96 2.27 0.0932 1.59 0 0.00789 0
223.281 0.551 7.07 5.48 2.09 0.088 1.51 0 0.00788 0
224.467 0.518 6.76 5.04 1.93 0.0831 1.43 0 0.00787 0
225.66 0.488 6.47 4.63 1.79 0.0784 1.35 0 0.00786 0
226.86 0.458 6.19 4.25 1.65 0.074 1.28 0 0.00784 0
228.066 0.431 5.93 3.91 1.52 0.0698 1.21 0 0.00783 0
229.28 0.405 5.67 3.58 1.4 0.0658 1.15 0 0.00782 0
230.5 0.38 5.43 3.29 1.29 0.062 1.09 0 0.00781 0
231.727 0.357 5.2 3.01 1.19 0.0585 1.03 0 0.00779 0
232.96 0.335 4.99 2.76 1.1 0.0551 0.974 0 0.00778 0
234.201 0.314 4.78 2.53 1.01 0.0519 0.921 0 0.00777 0
235.448 0.294 4.58 2.31 0.93 0.0488 0.87 0 0.00775 0
236.702 0.276 4.39 2.12 0.856 0.0459 0.822 0 0.00774 0
237.963 0.259 4.21 1.93 0.788 0.0432 0.777 0 0.00773 0
239.231 0.242 4.04 1.77 0.725 0.0406 0.734 0 0.00771 0
240.505 0.227 3.87 1.61 0.666 0.0382 0.693 0 0.0077 0
241.786 0.212 3.71 1.47 0.613 0.0359 0.654 0 0.00768 0
243.075 0.199 3.56 1.34 0.563 0.0337 0.617 0 0.00767 0
244.369 0.186 3.42 1.23 0.517 0.0317 0.582 0 0.00765 0
245.671 0.174 3.28 1.12 0.475 0.0297 0.548 0 0.00764 0
246.98 0.162 3.15 1.02 0.437 0.0279 0.517 0 0.00762 0
248.296 0.152 3.03 0.928 0.401 0.0262 0.487 0 0.00761 0
249.618 0.142 2.91 0.844 0.368 0.0245 0.459 0 0.00759 0
250.947 0.132 2.79 0.768 0.338 0.023 0.432 0 0.00758 0
252.283 0.123 2.68 0.699 0.31 0.0216 0.407 0 0.00756 0
253.626 0.115 2.57 0.635 0.284 0.0202 0.383 0 0.00755 0
254.975 0.107 2.47 0.577 0.261 0.0189 0.36 0 0.00753 0
256.332 0.1 2.38 0.524 0.239 0.0177 0.339 0 0.00752 0
257.695 0.0932 2.28 0.475 0.219 0.0166 0.318 0 0.0075 0
259.065 0.0869 2.19 0.431 0.201 0.0155 0.299 0 0.00748 0
260.442 0.0809 2.11 0.391 0.184 0.0145 0.281 0 0.00747 0
261.826 0.0753 2.02 0.354 0.169 0.0136 0.264 0 0.00745 0
263.216 0.0701 1.94 0.321 0.155 0.0127 0.248 0 0.00743 0
264.614 0.0652 1.87 0.29 0.142 0.0119 0.233 0 0.00742 0
266.018 0.0606 1.8 0.263 0.13 0.0111 0.218 0 0.0074 0
267.429 0.0563 1.73 0.238 0.119 0.0103 0.205 0 0.00739 0
268.847 0.0524 1.66 0.215 0.109 0.00965 0.192 0 0.00737 0
